"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","338","PUT: Modify to Apple MacBook Pro 99","chromium","Tue Oct 14 06:12:40 UTC 2025","passed","Tue Oct 14 06:12:40 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/goodpractice/apiCRUD.spec.ts","",""
"","824","Test02: Navigate to do Page with page manager","chromium","Tue Oct 14 06:12:46 UTC 2025","passed","Tue Oct 14 06:12:47 UTC 2025","Use save session storage  with page manager","desktop/goodpractice/qaCartStorageState.spec.ts","",""
"","539","TEST01: Standar user should be able to login","chromium","Tue Oct 14 06:12:41 UTC 2025","passed","Tue Oct 14 06:12:41 UTC 2025","","desktop/goodpractice/login.spec.ts","",""
"","891","Navigate to Registration Page","chromium","Tue Oct 14 06:12:37 UTC 2025","passed","Tue Oct 14 06:12:38 UTC 2025","Bad test code practice","desktop/badpractice/register.spec.ts","",""
"","354","POST: Create Objects","chromium","Tue Oct 14 06:12:33 UTC 2025","passed","Tue Oct 14 06:12:33 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/badpractice/apiCRUD.spec.ts","",""
"","5182","Testing on Mobile","Mobile Safari (iPhone 12)","Tue Oct 14 06:13:17 UTC 2025","passed","Tue Oct 14 06:13:22 UTC 2025","Wiki Test","mobile/mobile_test.spec.ts","",""
"","1796","TEST02: Register a real user and create a to do","chromium","Tue Oct 14 06:12:49 UTC 2025","passed","Tue Oct 14 06:12:51 UTC 2025","QA CART REGISTRATION","desktop/goodpractice/registerQACart.spec.ts","",""
"","356","GET: Google Pixel 6 Pro Objects","chromium","Tue Oct 14 06:12:39 UTC 2025","passed","Tue Oct 14 06:12:39 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/goodpractice/apiCRUD.spec.ts","",""
"","842","Test01: Navigate to do Page with page manager","chromium","Tue Oct 14 06:12:46 UTC 2025","passed","Tue Oct 14 06:12:46 UTC 2025","Use save session storage  with page manager","desktop/goodpractice/qaCartStorageState.spec.ts","",""
"","1407","TEST02: Standard user should create a transaction","chromium","Tue Oct 14 06:12:42 UTC 2025","passed","Tue Oct 14 06:12:43 UTC 2025","","desktop/goodpractice/login.spec.ts","",""
"","460","TEST03: Should be in the product page","chromium","Tue Oct 14 06:12:55 UTC 2025","passed","Tue Oct 14 06:12:55 UTC 2025","Use saved session to minimize the test runtime","desktop/goodpractice/sauceDemoStorageState.spec.ts","",""
"","833","Test03: Navigate to do Page with page manager","chromium","Tue Oct 14 06:12:47 UTC 2025","passed","Tue Oct 14 06:12:48 UTC 2025","Use save session storage  with page manager","desktop/goodpractice/qaCartStorageState.spec.ts","",""
"","339","POST: Create Apple MacBook Pro 16","chromium","Tue Oct 14 06:12:39 UTC 2025","passed","Tue Oct 14 06:12:40 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/goodpractice/apiCRUD.spec.ts","",""
"","502","User able to login (3)","chromium","Tue Oct 14 06:12:36 UTC 2025","passed","Tue Oct 14 06:12:37 UTC 2025","Not optimize test","desktop/badpractice/multipleLogin.spec.ts","",""
"","550","User able to login","chromium","Tue Oct 14 06:12:35 UTC 2025","passed","Tue Oct 14 06:12:35 UTC 2025","Bad test code practice","desktop/badpractice/login.spec.ts","",""
"","337","DELETE: Object","chromium","Tue Oct 14 06:12:34 UTC 2025","passed","Tue Oct 14 06:12:35 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/badpractice/apiCRUD.spec.ts","",""
"","17891","Testing on Mobile","Mobile Chrome (iPhone 12)","Tue Oct 14 06:12:56 UTC 2025","passed","Tue Oct 14 06:13:14 UTC 2025","Wiki Test","mobile/mobile_test.spec.ts","",""
"","523","User able to login (2)","chromium","Tue Oct 14 06:12:36 UTC 2025","passed","Tue Oct 14 06:12:36 UTC 2025","Not optimize test","desktop/badpractice/multipleLogin.spec.ts","",""
"","523","User able to login (1)","chromium","Tue Oct 14 06:12:35 UTC 2025","passed","Tue Oct 14 06:12:36 UTC 2025","Not optimize test","desktop/badpractice/multipleLogin.spec.ts","",""
"","1675","Register via Api and create to do task","chromium","Tue Oct 14 06:12:52 UTC 2025","passed","Tue Oct 14 06:12:54 UTC 2025","Hybrid Testing UI & Backend","desktop/goodpractice/registerQACartHybrid.spec.ts","",""
"","857","Test02: Navigate to do Page","chromium","Tue Oct 14 06:12:44 UTC 2025","passed","Tue Oct 14 06:12:45 UTC 2025","Use save session storage","desktop/goodpractice/qaCartStorageState.spec.ts","",""
"","328","DELETE: Object the created object","chromium","Tue Oct 14 06:12:40 UTC 2025","passed","Tue Oct 14 06:12:41 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/goodpractice/apiCRUD.spec.ts","",""
"","355","PATCH: Slight Modification to Apple MacBook Pro 100","chromium","Tue Oct 14 06:12:40 UTC 2025","passed","Tue Oct 14 06:12:40 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/goodpractice/apiCRUD.spec.ts","",""
"","508","GET: Objects","chromium","Tue Oct 14 06:12:33 UTC 2025","passed","Tue Oct 14 06:12:33 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/badpractice/apiCRUD.spec.ts","",""
"","1360","Register a user","chromium","Tue Oct 14 06:12:38 UTC 2025","passed","Tue Oct 14 06:12:39 UTC 2025","Bad test code practice","desktop/badpractice/register.spec.ts","",""
"","391","TEST02: Should be in the product page","chromium","Tue Oct 14 06:12:54 UTC 2025","passed","Tue Oct 14 06:12:55 UTC 2025","Use saved session to minimize the test runtime","desktop/goodpractice/sauceDemoStorageState.spec.ts","",""
"","1369","TEST03: Register a dummy user","chromium","Tue Oct 14 06:12:51 UTC 2025","passed","Tue Oct 14 06:12:52 UTC 2025","QA CART REGISTRATION","desktop/goodpractice/registerQACart.spec.ts","",""
"","436","TEST01: Should be in the product page","chromium","Tue Oct 14 06:12:54 UTC 2025","passed","Tue Oct 14 06:12:54 UTC 2025","Use saved session to minimize the test runtime","desktop/goodpractice/sauceDemoStorageState.spec.ts","",""
"","341","PATCH: Object","chromium","Tue Oct 14 06:12:34 UTC 2025","passed","Tue Oct 14 06:12:34 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/badpractice/apiCRUD.spec.ts","",""
"","873","TEST01: Navigate to Registration Page","chromium","Tue Oct 14 06:12:48 UTC 2025","passed","Tue Oct 14 06:12:49 UTC 2025","QA CART REGISTRATION","desktop/goodpractice/registerQACart.spec.ts","",""
"","855","Test03: Navigate to do Page","chromium","Tue Oct 14 06:12:45 UTC 2025","passed","Tue Oct 14 06:12:46 UTC 2025","Use save session storage","desktop/goodpractice/qaCartStorageState.spec.ts","",""
"","856","Test01: Navigate to do Page","chromium","Tue Oct 14 06:12:43 UTC 2025","passed","Tue Oct 14 06:12:44 UTC 2025","Use save session storage","desktop/goodpractice/qaCartStorageState.spec.ts","",""
"","349","PUT: Objects","chromium","Tue Oct 14 06:12:33 UTC 2025","passed","Tue Oct 14 06:12:34 UTC 2025","CRUD: restful API: https://restful-api.dev/","desktop/badpractice/apiCRUD.spec.ts","",""
